english	current_chinese	pos	suggested_class	risk_reason	note
Moeen and Mujtaba Sayed	Moeen and Mujtaba Sayed	artist-credit	context-title	contains-common-prose-word	-
The Open Chess Set	The Open Chess Set	asset-title	context-title	contains-common-prose-word	-
Galleon Ghost Ship in a bottle by Eugene Riecansky	Galleon Ghost Ship in a bottle by Eugene Riecansky	credit	context-title	contains-common-prose-word	-
Gold with scratches	Gold with scratches	material-example	context-title	mostly-lowercase-phrase;contains-common-prose-word	-
Iron with a touch of Tail Mix	Iron with a touch of Tail Mix	material-example	context-title	contains-common-prose-word	-
Depth of Field	Depth of Field	page-title	context-title	contains-common-prose-word	-
Layered Materials	Layered Materials	page-title	context-title	contains-common-prose-word	-
Presence and Opacity	Presence and Opacity	page-title	context-title	contains-common-prose-word	-
Stylized Hatching Sample XPU	Stylized Hatching Sample XPU	page-title	context-title	contains-common-prose-word	-
Stylized Light Control	Stylized Light Control	page-title	context-title	contains-common-prose-word	-
Stylized Lines	Stylized Lines	page-title	context-title	contains-common-prose-word	-
Stylized Lines Control	Stylized Lines Control	page-title	context-title	contains-common-prose-word	-
Stylized Lines XPU	Stylized Lines XPU	page-title	context-title	contains-common-prose-word	-
The Viewing Transformation	The Viewing Transformation	page-title	context-title	contains-common-prose-word	-
An Energy-Conserving Hair Reflectance Model	An Energy-Conserving Hair Reflectance Model	paper-title	context-title	contains-common-prose-word	-
Extending the Disney BRDF to a BSDF with Integrated Subsurface Scattering	Extending the Disney BRDF to a BSDF with Integrated Subsurface Scattering	paper-title	context-title	contains-common-prose-word	-
Importance Sampling for Physically-Based Hair Fiber Models	Importance Sampling for Physically-Based Hair Fiber Models	paper-title	context-title	contains-common-prose-word	-
Portal-Masked Environment Map Sampling	Portal-Masked Environment Map Sampling	paper-title	context-title	contains-common-prose-word	-
Simple Nested Dielectrics in Ray Traced Images	Simple Nested Dielectrics in Ray Traced Images	paper-title	context-title	contains-common-prose-word	-
Surface Gradient-Based Bump Mapping Framework	Surface Gradient-Based Bump Mapping Framework	paper-title	context-title	contains-common-prose-word	-
Towards Bidirectional Pathtracing at Pixar	Towards Bidirectional Pathtracing at Pixar	paper-title	context-title	contains-common-prose-word	-
Enable Manifold Walk	Enable Manifold Walk	option	context-ui-label	contains-common-prose-word	-
Line Thickness From Pattern	Line Thickness From Pattern	option	context-ui-label	contains-common-prose-word	-
Absorption Color	Absorption Color	parameter	context-ui-label	contains-common-prose-word	-
Albedo Color	Albedo Color	parameter	context-ui-label	contains-common-prose-word	-
Align Mode	Align Mode	parameter	context-ui-label	contains-common-prose-word	-
Back Color	Back Color	parameter	context-ui-label	contains-common-prose-word	-
Background Color	Background Color	parameter	context-ui-label	contains-common-prose-word	-
Background Color	Background Color	parameter	context-ui-label	contains-common-prose-word	-
Bake Mode	Bake Mode	parameter	context-ui-label	contains-common-prose-word	-
Barn Mode	Barn Mode	parameter	context-ui-label	contains-common-prose-word	-
Base Color	Base Color	parameter	context-ui-label	contains-common-prose-word	-
Base Layer Gain	Base Layer Gain	parameter	context-ui-label	contains-common-prose-word	-
Base Layer Scalar	Base Layer Scalar	parameter	context-ui-label	contains-common-prose-word	-
Base Layer Vector	Base Layer Vector	parameter	context-ui-label	contains-common-prose-word	-
Base Material	Base Material	parameter	context-ui-label	contains-common-prose-word	-
BG Color	BG Color	parameter	context-ui-label	contains-common-prose-word	-
Blending Mode	Blending Mode	parameter	context-ui-label	contains-common-prose-word	-
Blocks Volumes	Blocks Volumes	parameter	context-ui-label	contains-common-prose-word	-
Blur Far Value	Blur Far Value	parameter	context-ui-label	contains-common-prose-word	-
Blur Mid Value	Blur Mid Value	parameter	context-ui-label	contains-common-prose-word	-
Blur Near Value	Blur Near Value	parameter	context-ui-label	contains-common-prose-word	-
Bottom Color	Bottom Color	parameter	context-ui-label	contains-common-prose-word	-
by Lighting	by Lighting	parameter	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
by Z Depth	by Z Depth	parameter	context-ui-label	contains-common-prose-word	-
Cam Depth Type	Cam Depth Type	parameter	context-ui-label	contains-common-prose-word	-
Camera Range Mask Switch	Camera Range Mask Switch	parameter	context-ui-label	contains-common-prose-word	-
Camera Type	Camera Type	parameter	context-ui-label	contains-common-prose-word	-
Canvas Color	Canvas Color	parameter	context-ui-label	contains-common-prose-word	-
Canvas Texture	Canvas Texture	parameter	context-ui-label	contains-common-prose-word	-
Channels Missing Color	Channels Missing Color	parameter	context-ui-label	contains-common-prose-word	-
Channels Output Black	Channels Output Black	parameter	context-ui-label	contains-common-prose-word	-
Channels Output White	Channels Output White	parameter	context-ui-label	contains-common-prose-word	-
Clamp Output	Clamp Output	parameter	context-ui-label	contains-common-prose-word	-
Clamp To	Clamp To	parameter	context-ui-label	contains-common-prose-word	-
Color A	Color A	parameter	context-ui-label	contains-common-prose-word	-
Color B	Color B	parameter	context-ui-label	contains-common-prose-word	-
Color Blend Signal	Color Blend Signal	parameter	context-ui-label	contains-common-prose-word	-
Color Border	Color Border	parameter	context-ui-label	contains-common-prose-word	-
Color From	Color From	parameter	context-ui-label	contains-common-prose-word	-
Color Map	Color Map	parameter	context-ui-label	contains-common-prose-word	-
Color Max	Color Max	parameter	context-ui-label	contains-common-prose-word	-
Color Min	Color Min	parameter	context-ui-label	contains-common-prose-word	-
Color Model	Color Model	parameter	context-ui-label	contains-common-prose-word	-
Color Offset	Color Offset	parameter	context-ui-label	contains-common-prose-word	-
Color Offset	Color Offset	parameter	context-ui-label	contains-common-prose-word	-
Color Preservation	Color Preservation	parameter	context-ui-label	contains-common-prose-word	-
Color Ramp	Color Ramp	parameter	context-ui-label	contains-common-prose-word	-
Color Ramp Interpolation	Color Ramp Interpolation	parameter	context-ui-label	contains-common-prose-word	-
Color Ramp Knots	Color Ramp Knots	parameter	context-ui-label	contains-common-prose-word	-
